sent_id,expression,predicted_stratum,predicted_tags,predicted_compositional,review,review_note
7013,finger at top of pencil,direct,,False,,
8715,a zebra with floppy ears,direct,,False,,
39465,a tennis player,direct,,False,,
98326,child with white long sleeve t - shirt,direct,attribute,False,,
61504,"an old truck , painted brown and green",direct,attribute,False,,
83075,sheep with her babies,direct,,False,,
79569,a sink full of freshly cleaned apples,direct,,False,,
91969,a computr on tabule,direct,,False,,
54359,a africian american man looking toward the left,direct,,False,,
18738,a brown / black / white cat,direct,attribute,False,,
35340,a knife being used to cut a cake,direct,,False,,
76076,a person wearing white and showing v,direct,attribute,False,,
38366,a solid color living room chair,direct,,False,,
30810,an aqua blue surf board,direct,attribute,False,,
5307,the left half of the sandwich,direct,,False,,
62528,a woman brushing the teeth of a child,direct,,False,,
23380,wine glass stem,direct,,False,,
90287,the coffee cup with big blue spots,direct,attribute,False,,
88294,man wearing a hat and jeans,direct,,False,,
60222,man in striped shirt,direct,attribute,False,,
76688,a urinal mounted on a wall,direct,,False,,
46363,the child with the blue helmet,direct,attribute,False,,
22274,a bowl of cheerios with milk,direct,,False,,
22808,a tall tree nest to a large mirror,direct,,False,,
77819,the arms of a barber cutting hair,direct,,False,,
25969,brown vase,direct,attribute,False,,
5996,grey laptop on wooden table,direct,attribute,False,,
38208,the boat and all the stuff in it,direct,,False,,
34153,white teddy bear,direct,attribute,False,,
92261,a flannel chair,direct,,False,,
19909,the placemat across the table,direct,,False,,
102301,a half of a sandwich with lettuce exposed,direct,,False,,
60613,a guy in a grey shirt sitting alone,direct,attribute,False,,
91503,a large kite high in the sky,direct,,False,,
71167,a white carpet in the restroom,direct,attribute,False,,
23079,train coming toward camera,direct,,False,,
60449,the tennis player,direct,,False,,
77915,a brocolli floret with a stem,direct,,False,,
68837,woman with metal earring and short blonde hair,direct,,False,,
94191,a red cycle kept slanted in a tree,direct,attribute,False,,
10873,bottom traffic light for oncomming traffic,absolute,absolute|attribute,False,,
84031,a girl playing tennis in the left photo,absolute,absolute,False,,
39562,the zebra in the middle,absolute,absolute,False,,
40338,the elephant on the far right,absolute,absolute,False,,
59638,elephant in the back side,absolute,absolute,False,,
81430,the girl in the middle wearing the white shirt,absolute,absolute|attribute,False,,
73007,ram on the right,absolute,absolute,False,,
106,a black desk chair by a daybed with a cat in the background,absolute,absolute|attribute,False,,
26775,yellow school bus in the center of the picture,absolute,absolute|attribute,False,,
64521,giraffe on the right,absolute,absolute,False,,
62907,the lemon on the right,absolute,absolute,False,,
57637,the bird on the right,absolute,absolute,False,,
21973,a couch in the middle of the room,absolute,absolute,False,,
49047,a woman is wearing a black top and bottom while she plays tennis,absolute,absolute|attribute,False,,
19919,man on far left white hat,absolute,absolute|attribute,False,,
96453,the short little on the far left,absolute,absolute,False,,
2661,person on right,absolute,absolute,False,,
102363,little portion of the bike glass on the right corner of the image,absolute,absolute,False,,
10541,hand from the right side of the image,absolute,absolute,False,,
32022,the kid in the red in the background,absolute,absolute|attribute,False,,
64562,a blue chair on the right end of the table,absolute,absolute|attribute,False,,
81231,bottom half of an out of focus black and white zebra,absolute,absolute|attribute,False,,
88690,red tablecloth in the background,absolute,absolute|attribute,False,,
12612,small boat in back,absolute,absolute,False,,
65330,a hot dog with peppers on it on the right,absolute,absolute,False,,
79734,brown color table in the front side,absolute,absolute|attribute,False,,
55073,the toilet bowl on the left,absolute,absolute,False,,
56645,the hotdog weiner on the right,absolute,absolute,False,,
64685,the horse on the right,absolute,absolute,False,,
32730,glass of orange juice in background,absolute,absolute|attribute,False,,
